Уровень календаря;Дата;Статистические показатели;ОКАТО;Значение
1;01.01.2003;Число женщин на 1 января;Губахинский район;23723,00
1;01.01.2003;Число женщин на 1 января;Добрянский район;33681,00
1;01.01.2003;Число женщин на 1 января;Кизеловский район;18982,00
1;01.01.2003;Число женщин на 1 января;Краснокамский район;39244,00
1;01.01.2003;Число женщин на 1 января;г. Кунгур;36315,00
1;01.01.2003;Число женщин на 1 января;Лысьвенский район;46854,00
1;01.01.2003;Число женщин на 1 января;г. Соликамск;54756,00
1;01.01.2003;Число женщин на 1 января;Чайковский район;58908,00
1;01.01.2004;Число женщин на 1 января;Пермский край;1497059,00
1;01.01.2004;Число женщин на 1 января;Бардымский район;14617,00
1;01.01.2004;Число женщин на 1 января;Березовский район;9621,00
1;01.01.2004;Число женщин на 1 января;Большесосновский район;7913,00
1;01.01.2004;Число женщин на 1 января;Верещагинский район;23534,00
1;01.01.2004;Число женщин на 1 января;Горнозаводский район;15888,00
1;01.01.2004;Число женщин на 1 января;Еловский район;6737,00
1;01.01.2004;Число женщин на 1 января;Ильинский район;11108,00
1;01.01.2004;Число женщин на 1 января;Карагайский район;13183,00
1;01.01.2004;Число женщин на 1 января;Кишертский район;7891,00
1;01.01.2004;Число женщин на 1 января;Красновишерский район;14279,00
1;01.01.2004;Число женщин на 1 января;Куединский район;16346,00
1;01.01.2004;Число женщин на 1 января;Кунгурский район;24409,00
1;01.01.2004;Число женщин на 1 января;Нытвенский район;25373,00
1;01.01.2004;Число женщин на 1 января;Октябрьский район;18913,00
1;01.01.2004;Число женщин на 1 января;Ординский район;8953,00
1;01.01.2004;Число женщин на 1 января;Осинский район;17741,00
1;01.01.2004;Число женщин на 1 января;Оханский район;9359,00
1;01.01.2004;Число женщин на 1 января;Очерский район;13366,00
1;01.01.2004;Число женщин на 1 января;Пермский район;47867,00
1;01.01.2004;Число женщин на 1 января;Сивинский район;9133,00
1;01.01.2004;Число женщин на 1 января;Соликамский район;8049,00
1;01.01.2004;Число женщин на 1 января;Суксунский район;11492,00
1;01.01.2004;Число женщин на 1 января;Уинский район;6993,00
1;01.01.2004;Число женщин на 1 января;Усольский район;7009,00
1;01.01.2004;Число женщин на 1 января;Частинский район;7578,00
1;01.01.2004;Число женщин на 1 января;Чердынский район;13982,00
1;01.01.2004;Число женщин на 1 января;Чернушинский район;28118,00
1;01.01.2004;Число женщин на 1 января;Чусовской район;41236,00
1;01.01.2004;Число женщин на 1 января;г. Пермь;552186,00
1;01.01.2004;Число женщин на 1 января;Александровский район;19285,00
1;01.01.2004;Число женщин на 1 января;г. Березники;95683,00
1;01.01.2004;Число женщин на 1 января;Гремячинский район;9349,00
1;01.01.2004;Число женщин на 1 января;Губахинский район;23090,00
1;01.01.2004;Число женщин на 1 января;Добрянский район;33449,00
1;01.01.2004;Число женщин на 1 января;Кизеловский район;18500,00
1;01.01.2004;Число женщин на 1 января;Краснокамский район;39050,00
1;01.01.2004;Число женщин на 1 января;г. Кунгур;36098,00
1;01.01.2004;Число женщин на 1 января;Лысьвенский район;46632,00
1;01.01.2004;Число женщин на 1 января;г. Соликамск;54392,00
1;01.01.2004;Число женщин на 1 января;Чайковский район;58701,00
1;01.01.2005;Число женщин на 1 января;Пермский край;1482566,00
1;01.01.2005;Число женщин на 1 января;Бардымский район;14600,00
1;01.01.2005;Число женщин на 1 января;Березовский район;9584,00
1;01.01.2005;Число женщин на 1 января;Большесосновский район;7827,00
1;01.01.2005;Число женщин на 1 января;Верещагинский район;23429,00
1;01.01.2005;Число женщин на 1 января;Горнозаводский район;15737,00
1;01.01.2005;Число женщин на 1 января;Еловский район;6658,00
1;01.01.2005;Число женщин на 1 января;Ильинский район;11021,00
1;01.01.2005;Число женщин на 1 января;Карагайский район;13092,00
1;01.01.2005;Число женщин на 1 января;Кишертский район;7839,00
1;01.01.2005;Число женщин на 1 января;Красновишерский район;14181,00
1;01.01.2005;Число женщин на 1 января;Куединский район;16275,00
1;01.01.2005;Число женщин на 1 января;Кунгурский район;24437,00
1;01.01.2005;Число женщин на 1 января;Нытвенский район;25173,00
1;01.01.2005;Число женщин на 1 января;Октябрьский район;18784,00
1;01.01.2005;Число женщин на 1 января;Ординский район;8811,00
1;01.01.2005;Число женщин на 1 января;Осинский район;17505,00
1;01.01.2005;Число женщин на 1 января;Оханский район;9338,00
1;01.01.2005;Число женщин на 1 января;Очерский район;13288,00
1;01.01.2005;Число женщин на 1 января;Пермский район;47398,00
1;01.01.2005;Число женщин на 1 января;Сивинский район;9073,00
1;01.01.2005;Число женщин на 1 января;Соликамский район;8001,00
1;01.01.2005;Число женщин на 1 января;Суксунский район;11407,00
1;01.01.2005;Число женщин на 1 января;Уинский район;6903,00
1;01.01.2005;Число женщин на 1 января;Усольский район;6836,00
1;01.01.2005;Число женщин на 1 января;Частинский район;7567,00
1;01.01.2005;Число женщин на 1 января;Чердынский район;13809,00
1;01.01.2005;Число женщин на 1 января;Чернушинский район;27944,00
1;01.01.2005;Число женщин на 1 января;Чусовской район;40930,00
1;01.01.2005;Число женщин на 1 января;г. Пермь;550012,00
1;01.01.2005;Число женщин на 1 января;Александровский район;19116,00
1;01.01.2005;Число женщин на 1 января;г. Березники;95034,00
1;01.01.2005;Число женщин на 1 января;Гремячинский район;9031,00
1;01.01.2005;Число женщин на 1 января;Губахинский район;22498,00
1;01.01.2005;Число женщин на 1 января;Добрянский район;33359,00
1;01.01.2005;Число женщин на 1 января;Кизеловский район;18222,00
1;01.01.2005;Число женщин на 1 января;Краснокамский район;38908,00
1;01.01.2005;Число женщин на 1 января;г. Кунгур;36029,00
1;01.01.2005;Число женщин на 1 января;Лысьвенский район;46403,00
1;01.01.2005;Число женщин на 1 января;г. Соликамск;53966,00
1;01.01.2005;Число женщин на 1 января;Чайковский район;58697,00
1;01.01.2006;Число женщин на 1 января;Пермский край;1467569,00
1;01.01.2006;Число женщин на 1 января;Гайнский район;8480,00
1;01.01.2006;Число женщин на 1 января;Косинский район;4076,00
1;01.01.2006;Число женщин на 1 января;Кочевский район;6134,00
1;01.01.2006;Число женщин на 1 января;Кудымкарский район;14756,00
1;01.01.2006;Число женщин на 1 января;Юрлинский район;5794,00
1;01.01.2006;Число женщин на 1 января;Юсьвинский район;11973,00
1;01.01.2006;Число женщин на 1 января;г. Кудымкар;17770,00
1;01.01.2006;Число женщин на 1 января;Бардымский район;14490,00
1;01.01.2006;Число женщин на 1 января;Березовский район;9526,00
1;01.01.2006;Число женщин на 1 января;Большесосновский район;7668,00
1;01.01.2006;Число женщин на 1 января;Верещагинский район;23343,00
1;01.01.2006;Число женщин на 1 января;Горнозаводский район;15500,00
1;01.01.2006;Число женщин на 1 января;Еловский район;6602,00
1;01.01.2006;Число женщин на 1 января;Ильинский район;10983,00
1;01.01.2006;Число женщин на 1 января;Карагайский район;13008,00
1;01.01.2006;Число женщин на 1 января;Кишертский район;7803,00
1;01.01.2006;Число женщин на 1 января;Красновишерский район;14094,00
1;01.01.2006;Число женщин на 1 января;Куединский район;16170,00
1;01.01.2006;Число женщин на 1 января;Кунгурский район;24406,00
1;01.01.2006;Число женщин на 1 января;Нытвенский район;24932,00
1;01.01.2006;Число женщин на 1 января;Октябрьский район;18602,00
1;01.01.2006;Число женщин на 1 января;Ординский район;8687,00
1;01.01.2006;Число женщин на 1 января;Осинский район;17333,00
1;01.01.2006;Число женщин на 1 января;Оханский район;9305,00
1;01.01.2006;Число женщин на 1 января;Очерский район;13227,00
1;01.01.2006;Число женщин на 1 января;Пермский район;47001,00
1;01.01.2006;Число женщин на 1 января;Сивинский район;9021,00
1;01.01.2006;Число женщин на 1 января;Соликамский район;7992,00
1;01.01.2006;Число женщин на 1 января;Суксунский район;11284,00
1;01.01.2006;Число женщин на 1 января;Уинский район;6810,00
1;01.01.2006;Число женщин на 1 января;Усольский район;7849,00
1;01.01.2006;Число женщин на 1 января;Частинский район;7574,00
1;01.01.2006;Число женщин на 1 января;Чердынский район;13642,00
1;01.01.2006;Число женщин на 1 января;Чернушинский район;27737,00
1;01.01.2006;Число женщин на 1 января;Чусовской район;40591,00
1;01.01.2006;Число женщин на 1 января;г. Пермь;547762,00
1;01.01.2006;Число женщин на 1 января;Александровский район;18919,00
1;01.01.2006;Число женщин на 1 января;г. Березники;93202,00
1;01.01.2006;Число женщин на 1 января;Гремячинский район;8671,00
1;01.01.2006;Число женщин на 1 января;Губахинский район;22049,00
1;01.01.2006;Число женщин на 1 января;Добрянский район;33235,00
1;01.01.2006;Число женщин на 1 января;Кизеловский район;17791,00
1;01.01.2006;Число женщин на 1 января;Краснокамский район;39025,00
1;01.01.2006;Число женщин на 1 января;г. Кунгур;36085,00
1;01.01.2006;Число женщин на 1 января;Лысьвенский район;46069,00
1;01.01.2006;Число женщин на 1 января;г. Соликамск;53466,00
1;01.01.2006;Число женщин на 1 января;Чайковский район;58677,00
1;01.01.2007;Число женщин на 1 января;Пермский край;1454858,00
1;01.01.2007;Число женщин на 1 января;Гайнский район;8363,00
1;01.01.2007;Число женщин на 1 января;Косинский район;4005,00
1;01.01.2007;Число женщин на 1 января;Кочевский район;6116,00
1;01.01.2007;Число женщин на 1 января;Кудымкарский район;14776,00
1;01.01.2007;Число женщин на 1 января;Юрлинский район;5673,00
1;01.01.2007;Число женщин на 1 января;Юсьвинский район;11867,00
1;01.01.2007;Число женщин на 1 января;г. Кудымкар;17514,00
1;01.01.2007;Число женщин на 1 января;Бардымский район;14513,00
1;01.01.2007;Число женщин на 1 января;Березовский район;9452,00
1;01.01.2007;Число женщин на 1 января;Большесосновский район;7618,00
1;01.01.2007;Число женщин на 1 января;Верещагинский район;23244,00
1;01.01.2007;Число женщин на 1 января;Горнозаводский район;15359,00
1;01.01.2007;Число женщин на 1 января;Еловский район;6484,00
1;01.01.2007;Число женщин на 1 января;Ильинский район;10910,00
1;01.01.2007;Число женщин на 1 января;Карагайский район;12933,00
1;01.01.2007;Число женщин на 1 января;Кишертский район;7762,00
1;01.01.2007;Число женщин на 1 января;Красновишерский район;13998,00
1;01.01.2007;Число женщин на 1 января;Куединский район;16110,00
1;01.01.2007;Число женщин на 1 января;Кунгурский район;24364,00
1;01.01.2007;Число женщин на 1 января;Нытвенский район;24701,00
1;01.01.2007;Число женщин на 1 января;Октябрьский район;18472,00
1;01.01.2007;Число женщин на 1 января;Ординский район;8591,00
1;01.01.2007;Число женщин на 1 января;Осинский район;17212,00
1;01.01.2007;Число женщин на 1 января;Оханский район;9226,00
1;01.01.2007;Число женщин на 1 января;Очерский район;13207,00
1;01.01.2007;Число женщин на 1 января;Пермский район;46510,00
1;01.01.2007;Число женщин на 1 января;Сивинский район;8973,00
1;01.01.2007;Число женщин на 1 января;Соликамский район;8017,00
1;01.01.2007;Число женщин на 1 января;Суксунский район;11154,00
1;01.01.2007;Число женщин на 1 января;Уинский район;6720,00
1;01.01.2007;Число женщин на 1 января;Усольский район;7685,00
1;01.01.2007;Число женщин на 1 января;Частинский район;7547,00
1;01.01.2007;Число женщин на 1 января;Чердынский район;13433,00
1;01.01.2007;Число женщин на 1 января;Чернушинский район;27650,00
1;01.01.2007;Число женщин на 1 января;Чусовской район;40284,00
1;01.01.2007;Число женщин на 1 января;г. Пермь;546501,00
1;01.01.2007;Число женщин на 1 января;Александровский район;18707,00
1;01.01.2007;Число женщин на 1 января;г. Березники;92628,00
1;01.01.2007;Число женщин на 1 января;Гремячинский район;8421,00
1;01.01.2007;Число женщин на 1 января;Губахинский район;21511,00
1;01.01.2007;Число женщин на 1 января;Добрянский район;33031,00
1;01.01.2007;Число женщин на 1 января;Кизеловский район;17491,00
1;01.01.2007;Число женщин на 1 января;Краснокамский район;38989,00
1;01.01.2007;Число женщин на 1 января;г. Кунгур;36118,00
1;01.01.2007;Число женщин на 1 января;Лысьвенский район;45765,00
1;01.01.2007;Число женщин на 1 января;г. Соликамск;52995,00
1;01.01.2007;Число женщин на 1 января;Чайковский район;58653,00
1;01.01.2008;Число женщин на 1 января;Пермский край;1446320,00
1;01.01.2008;Число женщин на 1 января;Гайнский район;8247,00
1;01.01.2008;Число женщин на 1 января;Косинский район;3945,00
1;01.01.2008;Число женщин на 1 января;Кочевский район;6141,00
1;01.01.2008;Число женщин на 1 января;Кудымкарский район;14567,00
1;01.01.2008;Число женщин на 1 января;Юрлинский район;5651,00
1;01.01.2008;Число женщин на 1 января;Юсьвинский район;11833,00
1;01.01.2008;Число женщин на 1 января;г. Кудымкар;17403,00
1;01.01.2008;Число женщин на 1 января;Бардымский район;14537,00
1;01.01.2008;Число женщин на 1 января;Березовский район;9392,00
1;01.01.2008;Число женщин на 1 января;Большесосновский район;7575,00
1;01.01.2008;Число женщин на 1 января;Верещагинский район;23308,00
1;01.01.2008;Число женщин на 1 января;Горнозаводский район;14896,00
1;01.01.2008;Число женщин на 1 января;Еловский район;6411,00
1;01.01.2008;Число женщин на 1 января;Ильинский район;10899,00
1;01.01.2008;Число женщин на 1 января;Карагайский район;12746,00
1;01.01.2008;Число женщин на 1 января;Кишертский район;7694,00
1;01.01.2008;Число женщин на 1 января;Красновишерский район;13825,00
1;01.01.2008;Число женщин на 1 января;Куединский район;16056,00
1;01.01.2008;Число женщин на 1 января;Кунгурский район;24352,00
1;01.01.2008;Число женщин на 1 января;Нытвенский район;24581,00
1;01.01.2008;Число женщин на 1 января;Октябрьский район;18327,00
1;01.01.2008;Число женщин на 1 января;Ординский район;8533,00
1;01.01.2008;Число женщин на 1 января;Осинский район;17064,00
1;01.01.2008;Число женщин на 1 января;Оханский район;9172,00
1;01.01.2008;Число женщин на 1 января;Очерский район;13206,00
1;01.01.2008;Число женщин на 1 января;Пермский район;46204,00
1;01.01.2008;Число женщин на 1 января;Сивинский район;8952,00
1;01.01.2008;Число женщин на 1 января;Соликамский район;8063,00
1;01.01.2008;Число женщин на 1 января;Суксунский район;11071,00
1;01.01.2008;Число женщин на 1 января;Уинский район;6622,00
1;01.01.2008;Число женщин на 1 января;Усольский район;7580,00
1;01.01.2008;Число женщин на 1 января;Частинский район;7533,00
1;01.01.2008;Число женщин на 1 января;Чердынский район;13238,00
1;01.01.2008;Число женщин на 1 января;Чернушинский район;27629,00
1;01.01.2008;Число женщин на 1 января;Чусовской район;40051,00
1;01.01.2008;Число женщин на 1 января;г. Пермь;545115,00
1;01.01.2008;Число женщин на 1 января;Александровский район;18582,00
1;01.01.2008;Число женщин на 1 января;г. Березники;92141,00
1;01.01.2008;Число женщин на 1 января;Гремячинский район;8532,00
1;01.01.2008;Число женщин на 1 января;Губахинский район;21028,00
1;01.01.2008;Число женщин на 1 января;Добрянский район;33109,00
1;01.01.2008;Число женщин на 1 января;Кизеловский район;17228,00
1;01.01.2008;Число женщин на 1 января;Краснокамский район;39203,00
1;01.01.2008;Число женщин на 1 января;г. Кунгур;36201,00
1;01.01.2008;Число женщин на 1 января;Лысьвенский район;45403,00
1;01.01.2008;Число женщин на 1 января;г. Соликамск;52571,00
1;01.01.2008;Число женщин на 1 января;Чайковский район;58619,00
1;01.01.2009;Число женщин на 1 января;Пермский край;1440019,00
1;01.01.2009;Число женщин на 1 января;Гайнский район;8206,00
1;01.01.2009;Число женщин на 1 января;Косинский район;3899,00
1;01.01.2009;Число женщин на 1 января;Кочевский район;6142,00
1;01.01.2009;Число женщин на 1 января;Кудымкарский район;14409,00
1;01.01.2009;Число женщин на 1 января;Юрлинский район;5595,00
1;01.01.2009;Число женщин на 1 января;Юсьвинский район;11790,00
1;01.01.2009;Число женщин на 1 января;г. Кудымкар;17296,00
1;01.01.2009;Число женщин на 1 января;Бардымский район;14558,00
1;01.01.2009;Число женщин на 1 января;Березовский район;9350,00
1;01.01.2009;Число женщин на 1 января;Большесосновский район;7578,00
1;01.01.2009;Число женщин на 1 января;Верещагинский район;23430,00
1;01.01.2009;Число женщин на 1 января;Горнозаводский район;14715,00
1;01.01.2009;Число женщин на 1 января;Еловский район;6309,00
1;01.01.2009;Число женщин на 1 января;Ильинский район;10873,00
1;01.01.2009;Число женщин на 1 января;Карагайский район;12692,00
1;01.01.2009;Число женщин на 1 января;Кишертский район;7634,00
1;01.01.2009;Число женщин на 1 января;Красновишерский район;13722,00
1;01.01.2009;Число женщин на 1 января;Куединский район;16018,00
1;01.01.2009;Число женщин на 1 января;Кунгурский район;24339,00
1;01.01.2009;Число женщин на 1 января;Нытвенский район;24497,00
1;01.01.2009;Число женщин на 1 января;Октябрьский район;18276,00
1;01.01.2009;Число женщин на 1 января;Ординский район;8494,00
1;01.01.2009;Число женщин на 1 января;Осинский район;17016,00
1;01.01.2009;Число женщин на 1 января;Оханский район;9120,00
1;01.01.2009;Число женщин на 1 января;Очерский район;13144,00
1;01.01.2009;Число женщин на 1 января;Пермский район;46067,00
1;01.01.2009;Число женщин на 1 января;Сивинский район;8953,00
1;01.01.2009;Число женщин на 1 января;Соликамский район;8105,00
1;01.01.2009;Число женщин на 1 января;Суксунский район;10977,00
1;01.01.2009;Число женщин на 1 января;Уинский район;6517,00
1;01.01.2009;Число женщин на 1 января;Усольский район;7549,00
1;01.01.2009;Число женщин на 1 января;Частинский район;7524,00
1;01.01.2009;Число женщин на 1 января;Чердынский район;13081,00
1;01.01.2009;Число женщин на 1 января;Чернушинский район;27594,00
1;01.01.2009;Число женщин на 1 января;Чусовской район;39776,00
1;01.01.2009;Число женщин на 1 января;г. Пермь;544820,00
1;01.01.2009;Число женщин на 1 января;Александровский район;18401,00
1;01.01.2009;Число женщин на 1 января;г. Березники;91582,00
1;01.01.2009;Число женщин на 1 января;Гремячинский район;8370,00
1;01.01.2009;Число женщин на 1 января;Губахинский район;20666,00
1;01.01.2009;Число женщин на 1 января;Добрянский район;33144,00
1;01.01.2009;Число женщин на 1 января;Кизеловский район;16909,00
1;01.01.2009;Число женщин на 1 января;Краснокамский район;39255,00
