Численность постоянного населения по предварительным итогам Всероссийской переписи населения (2002, тысяча человек, значение показателя за год);;;
;;;
;;;Численность постоянного населения по предварительным итогам Всероссийской переписи населения
        Воронежская область;все население;мужчины;1088,5
        Воронежская область;городское население;Всего;1473,7
        Воронежская область;городское население;женщины;801,4
        Воронежская область;городское население;мужчины;672,3
        Воронежская область;сельское население;Всего;905,3
        Воронежская область;сельское население;женщины;489,1
        Воронежская область;сельское население;мужчины;416,2
        Ивановская область;все население;Всего;1148,9
        Ивановская область;все население;женщины;633,5
        Ивановская область;все население;мужчины;515,4
        Ивановская область;городское население;Всего;949,7
        Ивановская область;городское население;женщины;527,7
        Ивановская область;городское население;мужчины;422,0
        Ивановская область;сельское население;Всего;199,2
        Ивановская область;сельское население;женщины;105,8
        Ивановская область;сельское население;мужчины;93,4
        Калужская область;все население;Всего;1040,9
        Калужская область;все население;женщины;564,5
        Калужская область;все население;мужчины;476,4
        Калужская область;городское население;Всего;779,7
        Калужская область;городское население;женщины;423,1
        Калужская область;городское население;мужчины;356,6
        Калужская область;сельское население;Всего;261,2
        Калужская область;сельское население;женщины;141,4
        Калужская область;сельское население;мужчины;119,8
        Костромская область;все население;Всего;737,5
        Костромская область;все население;женщины;399,8
        Костромская область;все население;мужчины;337,7
        Костромская область;городское население;Всего;497,0
        Костромская область;городское население;женщины;271,8
        Костромская область;городское население;мужчины;225,2
        Костромская область;сельское население;Всего;240,5
        Костромская область;сельское население;женщины;128,0
        Костромская область;сельское население;мужчины;112,5
        Курская область;все население;Всего;1235,6
        Курская область;все население;женщины;670,1
        Курская область;все население;мужчины;565,5
        Курская область;городское население;Всего;756,8
        Курская область;городское население;женщины;412,0
        Курская область;городское население;мужчины;344,8
        Курская область;сельское население;Всего;478,8
        Курская область;сельское население;женщины;258,1
        Курская область;сельское население;мужчины;220,7
        Липецкая область;все население;Всего;1213,4
        Липецкая область;все население;женщины;657,3
        Липецкая область;все население;мужчины;556,1
        Липецкая область;городское население;Всего;780,0
        Липецкая область;городское население;женщины;422,8
        Липецкая область;городское население;мужчины;357,2
        Липецкая область;сельское население;Всего;433,4
        Липецкая область;сельское население;женщины;234,5
        Липецкая область;сельское население;мужчины;198,9
        Московская область;все население;Всего;6627,0
        Московская область;все население;женщины;3578,2
        Московская область;все население;мужчины;3048,8
        Московская область;городское население;Всего;5255,5
        Московская область;городское население;женщины;2848,0
        Московская область;городское население;мужчины;2407,5
        Московская область;сельское население;Всего;1371,5
        Московская область;сельское население;женщины;730,2
        Московская область;сельское население;мужчины;641,3
        Орловская область;все население;Всего;860,6
        Орловская область;все население;женщины;467,5
        Орловская область;все население;мужчины;393,1
        Орловская область;городское население;Всего;546,8
        Орловская область;городское население;женщины;298,8
        Орловская область;городское население;мужчины;248,0
        Орловская область;сельское население;Всего;313,8
        Орловская область;сельское население;женщины;168,7
        Орловская область;сельское население;мужчины;145,1
        Рязанская область;все население;Всего;1228,0
        Рязанская область;все население;женщины;666,7
        Рязанская область;все население;мужчины;561,3
        Рязанская область;городское население;Всего;846,3
        Рязанская область;городское население;женщины;459,2
        Рязанская область;городское население;мужчины;387,1
        Рязанская область;сельское население;Всего;381,7
        Рязанская область;сельское население;женщины;207,5
        Рязанская область;сельское население;мужчины;174,2
        Смоленская область;все население;Всего;1050,5
        Смоленская область;все население;женщины;571,9
        Смоленская область;все население;мужчины;478,6
        Смоленская область;городское население;Всего;744,4
        Смоленская область;городское население;женщины;407,8
        Смоленская область;городское население;мужчины;336,6
        Смоленская область;сельское население;Всего;306,1
        Смоленская область;сельское население;женщины;164,1
        Смоленская область;сельское население;мужчины;142,0
        Тамбовская область;все население;Всего;1179,6
        Тамбовская область;все население;женщины;639,5
        Тамбовская область;все население;мужчины;540,1
        Тамбовская область;городское население;Всего;675,3
        Тамбовская область;городское население;женщины;370,9
        Тамбовская область;городское население;мужчины;304,4
        Тамбовская область;сельское население;Всего;504,3
        Тамбовская область;сельское население;женщины;268,6
        Тамбовская область;сельское население;мужчины;235,7
        Тверская область;все население;Всего;1472,6
        Тверская область;все население;женщины;810,1
        Тверская область;все население;мужчины;662,5
        Тверская область;городское население;Всего;1076,9
        Тверская область;городское население;женщины;597,3
        Тверская область;городское население;мужчины;479,6
        Тверская область;сельское население;Всего;395,7
        Тверская область;сельское население;женщины;212,8
        Тверская область;сельское население;мужчины;182,9
        Тульская область;все население;Всего;1675,7
        Тульская область;все население;женщины;920,2
        Тульская область;все население;мужчины;755,5
        Тульская область;городское население;Всего;1366,7
        Тульская область;городское население;женщины;752,9
        Тульская область;городское население;мужчины;613,8
        Тульская область;сельское население;Всего;309,0
        Тульская область;сельское население;женщины;167,3
        Тульская область;сельское население;мужчины;141,7
        Ярославская область;все население;Всего;1367,7
        Ярославская область;все население;женщины;749,5
        Ярославская область;все население;мужчины;618,2
        Ярославская область;городское население;Всего;1107,1
        Ярославская область;городское население;женщины;609,0
        Ярославская область;городское население;мужчины;498,1
        Ярославская область;сельское население;Всего;260,6
        Ярославская область;сельское население;женщины;140,5
        Ярославская область;сельское население;мужчины;120,1
        г.Москва;все население;Всего;10357,8
        г.Москва;все население;женщины;5488,4
        г.Москва;все население;мужчины;4869,4
        г.Москва;городское население;Всего;10357,8
        г.Москва;городское население;женщины;5488,4
        г.Москва;городское население;мужчины;4869,4
    Северо-Западный федеральный округ;все население;Всего;13986,0
    Северо-Западный федеральный округ;все население;женщины;7525,1
    Северо-Западный федеральный округ;все население;мужчины;6460,9
    Северо-Западный федеральный округ;городское население;Всего;11514,4
    Северо-Западный федеральный округ;городское население;женщины;6238,0
    Северо-Западный федеральный округ;городское население;мужчины;5276,4
    Северо-Западный федеральный округ;сельское население;Всего;2471,6
    Северо-Западный федеральный округ;сельское население;женщины;1287,1
    Северо-Западный федеральный округ;сельское население;мужчины;1184,5
        Республика Карелия;все население;Всего;716,7
        Республика Карелия;все население;женщины;383,9
        Республика Карелия;все население;мужчины;332,8
        Республика Карелия;городское население;Всего;537,8
        Республика Карелия;городское население;женщины;290,4
        Республика Карелия;городское население;мужчины;247,4
        Республика Карелия;сельское население;Всего;178,9
        Республика Карелия;сельское население;женщины;93,5
        Республика Карелия;сельское население;мужчины;85,4
        Республика Коми;все население;Всего;1019,0
        Республика Коми;все население;женщины;530,2
        Республика Коми;все население;мужчины;488,8
        Республика Коми;городское население;Всего;767,1
        Республика Коми;городское население;женщины;403,9
        Республика Коми;городское население;мужчины;363,2
        Республика Коми;сельское население;Всего;251,9
        Республика Коми;сельское население;женщины;126,3
        Республика Коми;сельское население;мужчины;125,6
        Архангельская область;все население;Всего;1335,7
        Архангельская область;все население;женщины;706,2
        Архангельская область;все население;мужчины;629,5
        Архангельская область;городское население;Всего;999,0
        Архангельская область;городское население;женщины;535,4
        Архангельская область;городское население;мужчины;463,6
        Архангельская область;сельское население;Всего;336,7
        Архангельская область;сельское население;женщины;170,8
        Архангельская область;сельское население;мужчины;165,9
            Ненецкий автономный округ;все население;Всего;41,5
            Ненецкий автономный округ;все население;женщины;21,0
            Ненецкий автономный округ;все население;мужчины;20,5
            Ненецкий автономный округ;городское население;Всего;26,2
            Ненецкий автономный округ;городское население;женщины;13,5
            Ненецкий автономный округ;городское население;мужчины;12,7
            Ненецкий автономный округ;сельское население;Всего;15,3
            Ненецкий автономный округ;сельское население;женщины;7,5
            Ненецкий автономный округ;сельское население;мужчины;7,8
        Вологодская область;все население;Всего;1270,0
        Вологодская область;все население;женщины;681,3
        Вологодская область;все население;мужчины;588,7
        Вологодская область;городское население;Всего;876,9
        Вологодская область;городское население;женщины;474,5
        Вологодская область;городское население;мужчины;402,4
        Вологодская область;сельское население;Всего;393,1
        Вологодская область;сельское население;женщины;206,8
        Вологодская область;сельское население;мужчины;186,3
        Калининградская область;все население;Всего;955,2
        Калининградская область;все население;женщины;498,9
        Калининградская область;все население;мужчины;456,3
        Калининградская область;городское население;Всего;741,8
        Калининградская область;городское население;женщины;390,4
        Калининградская область;городское население;мужчины;351,4
        Калининградская область;сельское население;Всего;213,4
        Калининградская область;сельское население;женщины;108,5
        Калининградская область;сельское население;мужчины;104,9
        Ленинградская область;все население;Всего;1671,1
        Ленинградская область;все население;женщины;902,2
        Ленинградская область;все население;мужчины;768,9
        Ленинградская область;городское население;Всего;1110,4
        Ленинградская область;городское население;женщины;602,0
        Ленинградская область;городское население;мужчины;508,4
        Ленинградская область;сельское население;Всего;560,7
        Ленинградская область;сельское население;женщины;300,2
        Ленинградская область;сельское население;мужчины;260,5
        Мурманская область;все население;Всего;893,3
        Мурманская область;все население;женщины;457,6
        Мурманская область;все население;мужчины;435,7
        Мурманская область;городское население;Всего;824,0
        Мурманская область;городское население;женщины;427,6
        Мурманская область;городское население;мужчины;396,4
        Мурманская область;сельское население;Всего;69,3
        Мурманская область;сельское население;женщины;30,0
        Мурманская область;сельское население;мужчины;39,3
        Новгородская область;все население;Всего;694,7
        Новгородская область;все население;женщины;381,9
        Новгородская область;все население;мужчины;312,8
        Новгородская область;городское население;Всего;485,3
        Новгородская область;городское население;женщины;268,6
        Новгородская область;городское население;мужчины;216,7
        Новгородская область;сельское население;Всего;209,4
        Новгородская область;сельское население;женщины;113,3
        Новгородская область;сельское население;мужчины;96,1
        Псковская область;все население;Всего;760,9
        Псковская область;все население;женщины;412,8
        Псковская область;все население;мужчины;348,1
        Псковская область;городское население;Всего;502,9
        Псковская область;городское население;женщины;275,3
        Псковская область;городское население;мужчины;227,6
        Псковская область;сельское население;Всего;258,0
        Псковская область;сельское население;женщины;137,5
        Псковская область;сельское население;мужчины;120,5
        г.Санкт-Петербург;все население;Всего;4669,4
        г.Санкт-Петербург;все население;женщины;2570,0
        г.Санкт-Петербург;все население;мужчины;2099,4
        г.Санкт-Петербург;городское население;Всего;4669,4
        г.Санкт-Петербург;городское население;женщины;2570,0
        г.Санкт-Петербург;городское население;мужчины;2099,4
    Южный федеральный округ (по 2009 год);все население;Всего;22914,2
    Южный федеральный округ (по 2009 год);все население;женщины;12202,8
    Южный федеральный округ (по 2009 год);все население;мужчины;10711,4
    Южный федеральный округ (по 2009 год);городское население;Всего;13187,4
    Южный федеральный округ (по 2009 год);городское население;женщины;7088,7
    Южный федеральный округ (по 2009 год);городское население;мужчины;6098,7
    Южный федеральный округ (по 2009 год);сельское население;Всего;9726,8
    Южный федеральный округ (по 2009 год);сельское население;женщины;5114,1
    Южный федеральный округ (по 2009 год);сельское население;мужчины;4612,7
        Республика Дагестан;все население;Всего;2584,2
        Республика Дагестан;все население;женщины;1337,2
        Республика Дагестан;все население;мужчины;1247,0
        Республика Дагестан;городское население;Всего;1108,1
        Республика Дагестан;городское население;женщины;575,0
        Республика Дагестан;городское население;мужчины;533,1
        Республика Дагестан;сельское население;Всего;1476,1
        Республика Дагестан;сельское население;женщины;762,2
        Республика Дагестан;сельское население;мужчины;713,9
        Республика Ингушетия;все население;Всего;468,9
        Республика Ингушетия;все население;женщины;255,9
        Республика Ингушетия;все население;мужчины;213,0
        Республика Ингушетия;городское население;Всего;200,8
        Республика Ингушетия;городское население;женщины;109,2
        Республика Ингушетия;городское население;мужчины;91,6
        Республика Ингушетия;сельское население;Всего;268,1
        Республика Ингушетия;сельское население;женщины;146,7
        Республика Ингушетия;сельское население;мужчины;121,4
        Кабардино-Балкарская Республика;все население;Всего;900,5
        Кабардино-Балкарская Республика;все население;женщины;478,0
        Кабардино-Балкарская Республика;все население;мужчины;422,5
        Кабардино-Балкарская Республика;городское население;Всего;509,7
        Кабардино-Балкарская Республика;городское население;женщины;276,4
        Кабардино-Балкарская Республика;городское население;мужчины;233,3
        Кабардино-Балкарская Республика;сельское население;Всего;390,8
        Кабардино-Балкарская Республика;сельское население;женщины;201,6
        Кабардино-Балкарская Республика;сельское население;мужчины;189,2
        Карачаево-Черкесская Республика;все население;Всего;439,7
        Карачаево-Черкесская Республика;все население;женщины;233,6
        Карачаево-Черкесская Республика;все население;мужчины;206,1
        Карачаево-Черкесская Республика;городское население;Всего;193,7
        Карачаево-Черкесская Республика;городское население;женщины;105,6
        Карачаево-Черкесская Республика;городское население;мужчины;88,1
        Карачаево-Черкесская Республика;сельское население;Всего;246,0
        Карачаево-Черкесская Республика;сельское население;женщины;128,0
        Карачаево-Черкесская Республика;сельское население;мужчины;118,0
        Республика Северная Осетия - Алания;все население;Всего;709,9
        Республика Северная Осетия - Алания;все население;женщины;373,7
        Республика Северная Осетия - Алания;все население;мужчины;336,2
        Республика Северная Осетия - Алания;городское население;Всего;464,1
        Республика Северная Осетия - Алания;городское население;женщины;246,2
        Республика Северная Осетия - Алания;городское население;мужчины;217,9
        Республика Северная Осетия - Алания;сельское население;Всего;245,8
        Республика Северная Осетия - Алания;сельское население;женщины;127,5
        Республика Северная Осетия - Алания;сельское население;мужчины;118,3
        Чеченская Республика;все население;Всего;1100,3
        Чеченская Республика;все население;женщины;611,3
        Чеченская Республика;все население;мужчины;489,0
        Чеченская Республика;городское население;Всего;379,2
        Чеченская Республика;городское население;женщины;209,2
        Чеченская Республика;городское население;мужчины;170,0
        Чеченская Республика;сельское население;Всего;721,1
        Чеченская Республика;сельское население;женщины;402,1
        Чеченская Республика;сельское население;мужчины;319,0
        Ставропольский край;все население;Всего;2730,5
        Ставропольский край;все население;женщины;1452,2
        Ставропольский край;все население;мужчины;1278,3
        Ставропольский край;городское население;Всего;1526,4
        Ставропольский край;городское население;женщины;822,6
        Ставропольский край;городское население;мужчины;703,8
        Ставропольский край;сельское население;Всего;1204,1
        Ставропольский край;сельское население;женщины;629,6
        Ставропольский край;сельское население;мужчины;574,5
    Приволжский федеральный округ;все население;Всего;31158,2
    Приволжский федеральный округ;все население;женщины;16734,1
    Приволжский федеральный округ;все население;мужчины;14424,1
    Приволжский федеральный округ;городское население;Всего;22053,2
    Приволжский федеральный округ;городское население;женщины;11968,0
    Приволжский федеральный округ;городское население;мужчины;10085,2
    Приволжский федеральный округ;сельское население;Всего;9105,0
    Приволжский федеральный округ;сельское население;женщины;4766,1
    Приволжский федеральный округ;сельское население;мужчины;4338,9
        Республика Башкортостан;все население;Всего;4102,9
        Республика Башкортостан;все население;женщины;2177,9
        Республика Башкортостан;все население;мужчины;1925,0
        Республика Башкортостан;городское население;Всего;2628,2
        Республика Башкортостан;городское население;женщины;1413,4
        Республика Башкортостан;городское население;мужчины;1214,8
        Республика Башкортостан;сельское население;Всего;1474,7
        Республика Башкортостан;сельское население;женщины;764,5
        Республика Башкортостан;сельское население;мужчины;710,2
        Республика Марий Эл;все население;Всего;728,0
        Республика Марий Эл;все население;женщины;389,3
        Республика Марий Эл;все население;мужчины;338,7
        Республика Марий Эл;городское население;Всего;459,8
        Республика Марий Эл;городское население;женщины;250,3
        Республика Марий Эл;городское население;мужчины;209,5
        Республика Марий Эл;сельское население;Всего;268,2
        Республика Марий Эл;сельское население;женщины;139,0
        Республика Марий Эл;сельское население;мужчины;129,2
        Республика Мордовия;все население;Всего;888,7
        Республика Мордовия;все население;женщины;480,0
        Республика Мордовия;все население;мужчины;408,7
        Республика Мордовия;городское население;Всего;531,4
        Республика Мордовия;городское население;женщины;291,5
        Республика Мордовия;городское население;мужчины;239,9
        Республика Мордовия;сельское население;Всего;357,3
        Республика Мордовия;сельское население;женщины;188,5
        Республика Мордовия;сельское население;мужчины;168,8
        Республика Татарстан;все население;Всего;3779,8
        Республика Татарстан;все население;женщины;2027,6
        Республика Татарстан;все население;мужчины;1752,2
        Республика Татарстан;городское население;Всего;2791,2
        Республика Татарстан;городское население;женщины;1509,1
        Республика Татарстан;городское население;мужчины;1282,1
        Республика Татарстан;сельское население;Всего;988,6
        Республика Татарстан;сельское население;женщины;518,5
        Республика Татарстан;сельское население;мужчины;470,1
        Удмуртская Республика;все население;Всего;1570,5
        Удмуртская Республика;все население;женщины;843,1
        Удмуртская Республика;все население;мужчины;727,4
        Удмуртская Республика;городское население;Всего;1094,6
        Удмуртская Республика;городское население;женщины;597,3
        Удмуртская Республика;городское население;мужчины;497,3
        Удмуртская Республика;сельское население;Всего;475,9
        Удмуртская Республика;сельское население;женщины;245,8
        Удмуртская Республика;сельское население;мужчины;230,1
        Чувашская Республика;все население;Всего;1313,9
        Чувашская Республика;все население;женщины;705,6
        Чувашская Республика;все население;мужчины;608,3
        Чувашская Республика;городское население;Всего;796,6
        Чувашская Республика;городское население;женщины;435,1
        Чувашская Республика;городское население;мужчины;361,5
        Чувашская Республика;сельское население;Всего;517,3
        Чувашская Республика;сельское население;женщины;270,5
        Чувашская Республика;сельское население;мужчины;246,8
        Пермский край;все население;Всего;2824,4
        Пермский край;все население;женщины;1514,4
        Пермский край;все население;мужчины;1310,0
        Пермский край;городское население;Всего;2124,6
        Пермский край;городское население;женщины;1154,9
        Пермский край;городское население;мужчины;969,7
        Пермский край;сельское население;Всего;699,8
        Пермский край;сельское население;женщины;359,5
        Пермский край;сельское население;мужчины;340,3
            Коми-Пермяцкий автономный округ;все население;Всего;135,9
            Коми-Пермяцкий автономный округ;все население;женщины;70,8
            Коми-Пермяцкий автономный округ;все население;мужчины;65,1
            Коми-Пермяцкий автономный округ;городское население;Всего;35,7
            Коми-Пермяцкий автономный округ;городское население;женщины;19,6
            Коми-Пермяцкий автономный округ;городское население;мужчины;16,1
            Коми-Пермяцкий автономный округ;сельское население;Всего;100,2
            Коми-Пермяцкий автономный округ;сельское население;женщины;51,2
            Коми-Пермяцкий автономный округ;сельское население;мужчины;49,0
        Кировская область;все население;Всего;1503,6
        Кировская область;все население;женщины;807,4
        Кировская область;все население;мужчины;696,2
        Кировская область;городское население;Всего;1079,0
        Кировская область;городское население;женщины;584,8
        Кировская область;городское население;мужчины;494,2
        Кировская область;сельское население;Всего;424,6
        Кировская область;сельское население;женщины;222,6
        Кировская область;сельское население;мужчины;202,0
        Нижегородская область;все население;Всего;3524,0
        Нижегородская область;все население;женщины;1922,3
        Нижегородская область;все население;мужчины;1601,7
        Нижегородская область;городское население;Всего;2755,3
        Нижегородская область;городское население;женщины;1511,9
        Нижегородская область;городское население;мужчины;1243,4
        Нижегородская область;сельское население;Всего;768,7
        Нижегородская область;сельское население;женщины;410,4
        Нижегородская область;сельское население;мужчины;358,3
        Оренбургская область;все население;Всего;2177,5
        Оренбургская область;все население;женщины;1155,2
        Оренбургская область;все население;мужчины;1022,3
        Оренбургская область;городское население;Всего;1258,9
        Оренбургская область;городское население;женщины;679,6
        Оренбургская область;городское население;мужчины;579,3
        Оренбургская область;сельское население;Всего;918,6
        Оренбургская область;сельское население;женщины;475,6
        Оренбургская область;сельское население;мужчины;443,0
        Пензенская область;все население;Всего;1453,4
        Пензенская область;все население;женщины;788,1
        Пензенская область;все население;мужчины;665,3
        Пензенская область;городское население;Всего;945,5
        Пензенская область;городское население;женщины;516,2
        Пензенская область;городское население;мужчины;429,3
        Пензенская область;сельское население;Всего;507,9
        Пензенская область;сельское население;женщины;271,9
        Пензенская область;сельское население;мужчины;236,0
        Самарская область;все население;Всего;3239,8
        Самарская область;все население;женщины;1741,8
        Самарская область;все население;мужчины;1498,0
        Самарская область;городское население;Всего;2612,0
        Самарская область;городское население;женщины;1411,3
        Самарская область;городское население;мужчины;1200,7
        Самарская область;сельское население;Всего;627,8
        Самарская область;сельское население;женщины;330,5
        Самарская область;сельское население;мужчины;297,3
        Саратовская область;все население;Всего;2669,3
        Саратовская область;все население;женщины;1437,3
        Саратовская область;все население;мужчины;1232,0
        Саратовская область;городское население;Всего;1964,6
        Саратовская область;городское население;женщины;1066,8
        Саратовская область;городское население;мужчины;897,8
        Саратовская область;сельское население;Всего;704,7
        Саратовская область;сельское население;женщины;370,5
        Саратовская область;сельское население;мужчины;334,2
        Ульяновская область;все население;Всего;1382,3
        Ульяновская область;все население;женщины;744,1
        Ульяновская область;все население;мужчины;638,2
        Ульяновская область;городское население;Всего;1011,3
        Ульяновская область;городское население;женщины;545,7
        Ульяновская область;городское население;мужчины;465,6
        Ульяновская область;сельское население;Всего;371,0
        Ульяновская область;сельское население;женщины;198,4
        Ульяновская область;сельское население;мужчины;172,6
    Уральский федеральный округ;все население;Всего;12381,5
    Уральский федеральный округ;все население;женщины;6572,6
    Уральский федеральный округ;все население;мужчины;5808,9
    Уральский федеральный округ;городское население;Всего;9997,2
    Уральский федеральный округ;городское население;женщины;5335,9
    Уральский федеральный округ;городское население;мужчины;4661,3
    Уральский федеральный округ;сельское население;Всего;2384,3
    Уральский федеральный округ;сельское население;женщины;1236,7
    Уральский федеральный округ;сельское население;мужчины;1147,6
        Курганская область;все население;Всего;1019,9
        Курганская область;все население;женщины;548,7
        Курганская область;все население;мужчины;471,2
        Курганская область;городское население;Всего;574,7
        Курганская область;городское население;женщины;314,7
        Курганская область;городское население;мужчины;260,0
        Курганская область;сельское население;Всего;445,2
        Курганская область;сельское население;женщины;234,0
        Курганская область;сельское население;мужчины;211,2
        Свердловская область;все население;Всего;4489,8
        Свердловская область;все население;женщины;2415,1
        Свердловская область;все население;мужчины;2074,7
        Свердловская область;городское население;Всего;3945,0
        Свердловская область;городское население;женщины;2134,9
        Свердловская область;городское население;мужчины;1810,1
        Свердловская область;сельское население;Всего;544,8
        Свердловская область;сельское население;женщины;280,2
        Свердловская область;сельское население;мужчины;264,6
        Тюменская область;все население;Всего;3265,7
        Тюменская область;все население;женщины;1672,7
        Тюменская область;все население;мужчины;1593,0
        Тюменская область;городское население;Всего;2526,8
        Тюменская область;городское население;женщины;1295,8
        Тюменская область;городское население;мужчины;1231,0
        Тюменская область;сельское население;Всего;738,9
        Тюменская область;сельское население;женщины;376,9
        Тюменская область;сельское население;мужчины;362,0
            Ханты-Мансийский автономный округ-Югра;все население;Всего;1433,1
            Ханты-Мансийский автономный округ-Югра;все население;женщины;719,0
            Ханты-Мансийский автономный округ-Югра;все население;мужчины;714,1
            Ханты-Мансийский автономный округ-Югра;городское население;Всего;1302,2
            Ханты-Мансийский автономный округ-Югра;городское население;женщины;656,4
            Ханты-Мансийский автономный округ-Югра;городское население;мужчины;645,8
            Ханты-Мансийский автономный округ-Югра;сельское население;Всего;130,9
            Ханты-Мансийский автономный округ-Югра;сельское население;женщины;62,6
            Ханты-Мансийский автономный округ-Югра;сельское население;мужчины;68,3
            Ямало-Ненецкий автономный округ;все население;Всего;507,4
            Ямало-Ненецкий автономный округ;все население;женщины;251,5
            Ямало-Ненецкий автономный округ;все население;мужчины;255,9
            Ямало-Ненецкий автономный округ;городское население;Всего;423,2
            Ямало-Ненецкий автономный округ;городское население;женщины;210,1
            Ямало-Ненецкий автономный округ;городское население;мужчины;213,1
            Ямало-Ненецкий автономный округ;сельское население;Всего;84,2
            Ямало-Ненецкий автономный округ;сельское население;женщины;41,4
            Ямало-Ненецкий автономный округ;сельское население;мужчины;42,8
        Челябинская область;все население;Всего;3606,1
        Челябинская область;все население;женщины;1936,0
        Челябинская область;все население;мужчины;1670,1
        Челябинская область;городское население;Всего;2950,6
        Челябинская область;городское население;женщины;1590,4
        Челябинская область;городское население;мужчины;1360,2
        Челябинская область;сельское население;Всего;655,5
        Челябинская область;сельское население;женщины;345,6
        Челябинская область;сельское население;мужчины;309,9
    Сибирский федеральный округ;все население;Всего;20064,3
    Сибирский федеральный округ;все население;женщины;10657,2
    Сибирский федеральный округ;все население;мужчины;9407,1
    Сибирский федеральный округ;городское население;Всего;14281,7
    Сибирский федеральный округ;городское население;женщины;7665,3
    Сибирский федеральный округ;городское население;мужчины;6616,4
    Сибирский федеральный округ;сельское население;Всего;5782,6
    Сибирский федеральный округ;сельское население;женщины;2991,9
    Сибирский федеральный округ;сельское население;мужчины;2790,7
        Республика Алтай;все население;Всего;202,9
        Республика Алтай;все население;женщины;106,4
        Республика Алтай;все население;мужчины;96,5
        Республика Алтай;городское население;Всего;53,5
        Республика Алтай;городское население;женщины;29,6
        Республика Алтай;городское население;мужчины;23,9
        Республика Алтай;сельское население;Всего;149,4
        Республика Алтай;сельское население;женщины;76,8
        Республика Алтай;сельское население;мужчины;72,6
        Республика Бурятия;все население;Всего;981,0
        Республика Бурятия;все население;женщины;513,1
        Республика Бурятия;все население;мужчины;467,9
        Республика Бурятия;городское население;Всего;584,8
        Республика Бурятия;городское население;женщины;309,8
        Республика Бурятия;городское население;мужчины;275,0
        Республика Бурятия;сельское население;Всего;396,2
        Республика Бурятия;сельское население;женщины;203,3
        Республика Бурятия;сельское население;мужчины;192,9
        Республика Тыва;все население;Всего;305,5
        Республика Тыва;все население;женщины;160,5
        Республика Тыва;все население;мужчины;145,0
        Республика Тыва;городское население;Всего;157,9
        Республика Тыва;городское население;женщины;84,2
        Республика Тыва;городское население;мужчины;73,7
        Республика Тыва;сельское население;Всего;147,6
        Республика Тыва;сельское население;женщины;76,3
        Республика Тыва;сельское население;мужчины;71,3
        Республика Хакасия;все население;Всего;546,1
        Республика Хакасия;все население;женщины;290,8
        Республика Хакасия;все население;мужчины;255,3
        Республика Хакасия;городское население;Всего;386,8
        Республика Хакасия;городское население;женщины;207,4
        Республика Хакасия;городское население;мужчины;179,4
        Республика Хакасия;сельское население;Всего;159,3
        Республика Хакасия;сельское население;женщины;83,4
        Республика Хакасия;сельское население;мужчины;75,9
        Алтайский край;все население;Всего;2607,2
        Алтайский край;все население;женщины;1391,5
        Алтайский край;все население;мужчины;1215,7
        Алтайский край;городское население;Всего;1386,6
        Алтайский край;городское население;женщины;751,0
        Алтайский край;городское население;мужчины;635,6
        Алтайский край;сельское население;Всего;1220,6
        Алтайский край;сельское население;женщины;640,5
        Алтайский край;сельское население;мужчины;580,1
        Забайкальский край;все население;Всего;1156,2
        Забайкальский край;все население;женщины;596,6
